,kflow,kflow,kflow,kflow,kflow,kflow,k_pla_plus,k_pla_plus,k_pla_plus,k_pla_minus,k_pla_act,k_pla_act,"A(IIa,e2P)",kon_IIa_p,koff_IIa_p,kon_v_p,koff_v_p
IIa,-1,1,,,,,,,,,,,,-1,1,,
V,,,-1,1,,,,,,,,,,,,-1,1
PL,,,,,1,-1,-1,-1,,,-1,-1,-1,,,,
P_SUB,,,,,,,-1,-1,-1,1,,,,,,,
PL_S,,,,,,,1,1,1,-1,0,,,,,,
p5avail,,,,,,,1,1,,,1,1,,,,-1,1
p2avail,,,,,,,1,1,,,1,1,,-1,1,,
PL_V,,,,,,,,,-1,1,1,1,1,,,,
IIa_p,,,,,,,,,,,,,,1,-1,,
V_p,,,,,,,,,,,,,,,,1,-1
